,type,gender_guessed,Height,Width,is_flat,age,years_selling,Uniqueness,is_signed,gallery,price_numeric,painting,description_present,location,image_path
0,Unique work,female,27.6,27.6,Not flat,0.0,1.0,Unique,signed,independent,3158.0,other,Present,France,images_thesis\2313827_1_m.jpg
1,Unique work,female,19.7,19.7,Not flat,0.0,3.0,Unique,signed,independent,2065.0,other,Present,France,images_thesis\2328028_1_m.jpg
2,Unique work,female,23.6,23.6,Not flat,0.0,3.0,Unique,signed,independent,3522.0,other,Present,France,images_thesis\2299335_1_m.jpg
3,Unique work,female,15.7,11.8,Not flat,4.0,5.0,Unique,signed,gallery,644.0,oil,Present,other,images_thesis\1118562_1_m.jpg
4,Unique work,unknown,15.7,15.7,Not flat,4.0,5.0,Unique,signed,independent,838.0,other,Present,France,images_thesis\1241121_1_m.jpg
5,Unique work,male,31.5,23.6,Not flat,3.0,3.0,Unique,signed,independent,839.0,acrylic,Present,other,images_thesis\1764357_1_m.jpg
6,Unique work,female,19.7,19.7,Not flat,4.0,6.0,Unique,signed,independent,790.0,acrylic,Present,other,images_thesis\1286004_1_m.jpg
7,Unique work,unknown,19.3,19.3,Not flat,6.0,11.0,Unique,signed,gallery,875.0,other,Present,France,images_thesis\575328_1_m.jpg
8,Unique work,male,47.2,31.5,Not flat,3.0,2.0,Unique,signed,gallery,2033.0,acrylic,Present,other,images_thesis\2160108_1_m.jpg
9,Unique work,male,31.9,39.4,Not flat,6.0,8.0,Unique,signed,gallery,2429.0,oil,No description,France,images_thesis\842034_1_m.jpg
10,Unique work,male,8.0,8.0,Not flat,5.0,6.0,Unique,signed,gallery,600.0,acrylic,Present,United States,images_thesis\827373_1_m.jpg
11,Unique work,male,31.9,46.1,Not flat,6.0,10.0,Unique,signed,gallery,972.0,other,No description,other,images_thesis\679239_1_m.jpg
12,Unique work,female,31.5,31.5,Not flat,4.0,5.0,Unique,signed,independent,644.0,acrylic,Present,other,images_thesis\1092183_1_m.jpg
13,Unique work,male,28.7,21.3,Not flat,5.0,2.0,Unique,signed,gallery,2794.0,other,Present,other,images_thesis\2097702_1_m.jpg
14,Unique work,female,31.5,31.5,Not flat,1.0,3.0,Unique,signed,independent,2915.0,oil,Present,other,images_thesis\2174383_1_m.jpg
15,Unique work,unknown,59.1,78.7,Not flat,15.0,4.0,Unique,signed,gallery,63160.0,acrylic,Present,France,images_thesis\2310418_1_m.jpg
16,Unique work,male,7.9,7.9,Not flat,7.0,8.0,Unique,signed,gallery,668.0,acrylic,No description,France,images_thesis\459001_1_m.jpg
17,Unique work,male,14.6,10.6,Not flat,27.0,6.0,Unique,not signed,gallery,729.0,oil,Present,other,images_thesis\680721_1_m.jpg
18,Unique work,male,35.4,35.4,Not flat,1.0,5.0,Unique,signed,independent,849.0,acrylic,Present,other,images_thesis\2249811_1_m.jpg
19,Unique work,male,40.0,66.0,Not flat,39.0,9.0,Unique,signed,gallery,450000.0,acrylic,Present,United States,images_thesis\50976_1_m.jpg
20,Unique work,unknown,63.8,38.2,Flat,33.0,10.0,Unique,signed,gallery,91097.0,acrylic,No description,other,images_thesis\1223355_1_m.jpg
21,Unique work,unknown,27.6,19.7,Not flat,5.0,5.0,Unique,signed,gallery,607.0,acrylic,No description,France,images_thesis\931020_1_m.jpg
22,Unique work,unknown,24.0,19.7,Flat,5.0,1.0,Unique,signed,independent,1093.0,acrylic,Present,France,images_thesis\2229274_1_m.jpg
23,Unique work,female,63.0,37.4,Not flat,0.0,4.0,Unique,signed,independent,1761.0,acrylic,Present,Spain,images_thesis\2248842_1_m.jpg
24,Unique work,male,47.2,23.6,Not flat,6.0,9.0,Unique,signed,gallery,850.0,other,No description,France,images_thesis\2297169_1_m.jpg
25,Unique work,female,48.0,30.0,Not flat,3.0,7.0,Unique,signed,gallery,800.0,other,Present,United States,images_thesis\1555308_1_m.jpg
26,Unique work,unknown,36.0,24.0,Not flat,1.0,3.0,Unique,signed,gallery,2450.0,other,No description,other,images_thesis\2253925_1_m.jpg
27,Unique work,male,31.9,39.4,Not flat,2.0,9.0,Unique,signed,gallery,850.0,other,No description,France,images_thesis\2155002_1_m.jpg
28,Unique work,unknown,25.6,19.7,Not flat,0.0,10.0,Unique,signed,gallery,838.0,other,Present,France,images_thesis\2320948_1_m.jpg
29,Unique work,female,16.5,11.7,Not flat,4.0,9.0,Unique,signed,gallery,972.0,other,No description,Spain,images_thesis\1374666_1_m.jpg
30,Unique work,female,31.5,23.6,Not flat,4.0,5.0,Unique,signed,independent,850.0,acrylic,Present,France,images_thesis\1259667_1_m.jpg
31,Unique work,female,31.9,39.4,Not flat,1.0,3.0,Unique,signed,independent,1640.0,other,Present,France,images_thesis\2235146_1_m.jpg
32,Unique work,male,35.4,27.6,Flat,7.0,5.0,Unique,not signed,independent,2551.0,other,No description,Spain,images_thesis\726180_1_m.jpg
33,Unique work,male,12.6,10.2,Not flat,1.0,11.0,Unique,signed,gallery,960.0,other,Present,France,images_thesis\2291042_1_m.jpg
34,Unique work,unknown,19.7,7.9,Not flat,4.0,11.0,Unique,signed,gallery,850.0,acrylic,No description,France,images_thesis\1160856_1_m.jpg
35,Unique work,male,23.6,11.8,Not flat,6.0,10.0,Unique,signed,gallery,850.0,other,No description,France,images_thesis\1307505_1_m.jpg
36,Unique work,unknown,15.7,11.8,Not flat,0.0,4.0,Unique,signed,gallery,972.0,acrylic,No description,France,images_thesis\2300441_1_m.jpg
37,Unique work,unknown,29.5,48.0,Not flat,3.0,1.0,Unique,signed,gallery,2186.0,other,Present,France,images_thesis\2280207_1_m.jpg
38,Unique work,male,23.6,23.6,Not flat,5.0,9.0,Unique,signed,gallery,668.0,acrylic,Present,France,images_thesis\847806_1_m.jpg
39,Unique work,female,16.5,11.8,Flat,11.0,10.0,Unique,signed,gallery,850.0,other,No description,other,images_thesis\1051380_1_m.jpg
40,Unique work,male,23.6,31.5,Not flat,10.0,6.0,Unique,signed,independent,1215.0,other,Present,France,images_thesis\478579_1_m.jpg
41,Unique work,female,27.6,19.7,Not flat,8.0,8.0,Unique,signed,gallery,1263.0,other,Present,other,images_thesis\294574_1_m.jpg
42,Unique work,unknown,39.4,31.9,Not flat,4.0,10.0,Unique,signed,gallery,2065.0,other,No description,France,images_thesis\2268255_1_m.jpg
43,Unique work,male,7.9,7.9,Not flat,12.0,4.0,Unique,signed,independent,800.0,other,No description,Ukraine,images_thesis\1735587_1_m.jpg
44,Unique work,male,21.7,21.7,Not flat,3.0,10.0,Unique,signed,gallery,2378.0,acrylic,Present,Spain,images_thesis\1729989_1_m.jpg
45,Unique work,female,39.4,27.6,Not flat,13.0,10.0,Unique,signed,gallery,972.0,oil,No description,France,images_thesis\1173576_1_m.jpg
46,Unique work,female,45.7,28.7,Not flat,4.0,9.0,Unique,signed,gallery,2794.0,other,Present,France,images_thesis\1999140_1_m.jpg
47,Unique work,unknown,11.8,15.7,Not flat,3.0,3.0,Unique,not signed,gallery,972.0,oil,Present,Ukraine,images_thesis\1785654_1_m.jpg
48,Unique work,male,15.7,15.7,Not flat,0.0,6.0,Unique,signed,independent,607.0,oil,No description,other,images_thesis\2315730_1_m.jpg
49,Unique work,unknown,47.2,59.1,Not flat,1.0,4.0,Unique,signed,gallery,8502.0,other,Present,France,images_thesis\2204449_1_m.jpg
50,Unique work,female,21.7,18.1,Not flat,17.0,7.0,Unique,signed,gallery,1458.0,oil,Present,France,images_thesis\1226568_1_m.jpg
51,Unique work,unknown,39.4,39.4,Not flat,2.0,9.0,Unique,signed,gallery,1943.0,acrylic,Present,France,images_thesis\2149337_1_m.jpg
52,Unique work,male,28.7,23.6,Not flat,7.0,4.0,Unique,signed,gallery,1822.0,acrylic,No description,France,images_thesis\1996287_1_m.jpg
53,Unique work,male,28.7,23.6,Flat,4.0,8.0,Unique,signed,gallery,2004.0,acrylic,No description,France,images_thesis\1042977_1_m.jpg
54,Unique work,female,9.8,9.8,Not flat,5.0,9.0,Unique,signed,gallery,972.0,acrylic,No description,France,images_thesis\933687_1_m.jpg
55,Unique work,male,48.0,59.8,Not flat,7.0,10.0,Unique,signed,gallery,2727.0,acrylic,No description,other,images_thesis\301825_1_m.jpg
56,Unique work,male,15.7,15.7,Not flat,1.0,5.0,Unique,signed,independent,1458.0,other,No description,other,images_thesis\2180511_1_m.jpg
57,Unique work,female,31.5,23.6,Not flat,7.0,8.0,Unique,signed,gallery,972.0,acrylic,Present,other,images_thesis\489088_1_m.jpg
58,Unique work,male,31.5,23.6,Not flat,40.0,4.0,Unique,signed,gallery,4150.0,acrylic,No description,other,images_thesis\2289470_1_m.jpg
59,Unique work,female,28.7,47.6,Not flat,2.0,4.0,Unique,signed,independent,972.0,other,No description,Ukraine,images_thesis\1789590_1_m.jpg
60,Unique work,male,27.6,19.7,Not flat,7.0,7.0,Unique,signed,gallery,1275.0,acrylic,Present,France,images_thesis\1509231_1_m.jpg
61,Unique work,male,28.7,36.2,Not flat,6.0,9.0,Unique,signed,gallery,2417.0,oil,No description,France,images_thesis\130456_1_m.jpg
62,Unique work,male,23.6,31.5,Not flat,34.0,5.0,Unique,signed,independent,2186.0,oil,Present,other,images_thesis\1286745_1_m.jpg
63,Unique work,unknown,47.2,47.2,Not flat,0.0,10.0,Unique,signed,gallery,1883.0,acrylic,No description,France,images_thesis\2288385_1_m.jpg
64,Unique work,male,15.7,11.8,Not flat,1.0,4.0,Unique,signed,gallery,911.0,other,No description,France,images_thesis\2288709_1_m.jpg
65,Unique work,female,16.0,16.0,Not flat,3.0,3.0,Unique,signed,gallery,675.0,acrylic,Present,United States,images_thesis\1830486_1_m.jpg
66,Unique work,male,47.2,47.2,Not flat,2.0,9.0,Unique,signed,gallery,5466.0,oil,No description,France,images_thesis\2121219_1_m.jpg
67,Unique work,female,36.0,24.0,Not flat,1.0,3.0,Unique,signed,gallery,795.0,acrylic,Present,United States,images_thesis\2306363_1_m.jpg
68,Unique work,female,15.7,19.7,Not flat,2.0,1.0,Unique,signed,independent,972.0,oil,Present,other,images_thesis\2250582_1_m.jpg
69,Unique work,male,14.0,9.9,Not flat,5.0,10.0,Unique,signed,gallery,2098.0,other,No description,other,images_thesis\1751949_1_m.jpg
70,Unique work,unknown,12.0,8.0,Not flat,4.0,4.0,Unique,signed,gallery,1458.0,other,No description,United States,images_thesis\1184298_1_m.jpg
